Уровень,Количество учеников,Количество отзывов,Средняя оценка,Наличие сертификата,"Цена, ₽",Количество уроков,"Длительность уроков, ч"
0.5,0.00013628143864277665,4.892607270414404e-05,1.0,no,0.041670139178264856,0.030271398747390398,0.0
0.5,6.289912552743538e-05,4.892607270414404e-05,1.0,no,0.033336111342611885,0.10647181628392484,0.02666666666666667
0.0,0.00022014693934602382,0.0001467782181124321,1.0,yes,0.0291690974247854,0.04384133611691023,0.0
0.0,5.67839327678236e-05,4.892607270414404e-05,1.0,yes,0.02325193766147179,0.049060542797494784,0.06666666666666667
0.0,0.00045514506110824765,0.0002935564362248642,1.0,yes,0.01791815984665389,0.07828810020876827,0.12
0.5,1.0483187587905896e-05,0.0001467782181124321,1.0,yes,0.004167013917826486,0.03653444676409186,0.0
0.0,1.3977583450541195e-05,4.892607270414404e-05,1.0,yes,0.02749395782981915,0.13987473903966596,0.06222222222222222
0.0,4.6300745179917704e-05,0.0005381867997455844,1.0,yes,0.016668055671305942,0.030271398747390398,0.0
0.0,0.00015637421485292961,0.00019570429081657617,1.0,yes,0.02749395782981915,0.1419624217118998,0.06666666666666667
0.0,7.862390690929422e-06,4.892607270414404e-05,1.0,yes,0.017493124427035586,0.03549060542797495,0.017777777777777778
0.0,4.5427146214258885e-05,0.0,0.0,no,0.010667555629635802,0.08768267223382047,0.0
0.5,0.0003110012317745416,0.0005871128724497284,1.0,yes,0.020751729310775898,0.08559498956158663,0.03111111111111111
0.0,7.42559120810001e-05,4.892607270414404e-05,1.0,no,0.012492707725643804,0.037578288100208766,0.017777777777777778
0.5,0.00028217246590780037,0.00044033465433729633,1.0,yes,0.02749395782981915,0.08455114822546973,0.06222222222222222
0.0,0.00017908778796005905,0.0005871128724497284,1.0,yes,0.010667555629635802,0.033402922755741124,0.0
0.0,4.5427146214258885e-05,4.892607270414404e-05,1.0,yes,0.06250520876739728,0.032359081419624215,0.044444444444444446
